Tag,Path,Mode,Methods,Description
DB_Analysis,/DB/PDEL/{id},,"GET, POST, PUT, DELETE","Delete Db Pdel Key"
DB_Pushover,/DB/PHGE,,"GET, POST, PUT, DELETE","Delete Db Phge"
DB_Pushover,/DB/PHGE/{id},,"GET, POST, PUT, DELETE","Delete Db Phge Key"
DB_Properties,/DB/PHGT,,"GET, POST, PUT, DELETE","Delete Db Phgt"
DB_Properties,/DB/PHGT/{id},,"GET, POST, PUT, DELETE","Delete Db Phgt Key"
DB_Project,/DB/PJCF,,"GET, POST, PUT, DELETE","Delete Db Pjcf"
DB_Project,/DB/PJCF/{id},,"GET, POST, PUT, DELETE","Delete Db Pjcf Key"
DB_Miscellaneous Loads,/DB/PLCB,,"GET, POST, PUT, DELETE","Delete Db Plcb"
DB_Miscellaneous Loads,/DB/PLCB/{id},,"GET, POST, PUT, DELETE","Delete Db Plcb Key"
DB_Static Loads,/DB/PNLA,,"GET, POST, PUT, DELETE","Delete Db Pnla"
DB_Static Loads,/DB/PNLA/{id},,"GET, POST, PUT, DELETE","Delete Db Pnla Key"
DB_Static Loads,/DB/PNLD,,"GET, POST, PUT, DELETE","Delete Db Pnld"
DB_Static Loads,/DB/PNLD/{id},,"GET, POST, PUT, DELETE","Delete Db Pnld Key"
DB_Pushover,/DB/POGD,,"GET, POST, PUT, DELETE","Delete Db Pogd"
DB_Pushover,/DB/POGD/{id},,"GET, POST, PUT, DELETE","Delete Db Pogd Key"
DB_Pushover,/DB/POLC,,"GET, POST, PUT, DELETE","Delete Db Polc"
DB_Pushover,/DB/POLC/{id},,"GET, POST, PUT, DELETE","Delete Db Polc Key"
DB_Properties,/DB/POSL,,"GET, POST, PUT, DELETE","Delete Db Posl"
DB_Properties,/DB/POSL/{id},,"GET, POST, PUT, DELETE","Delete Db Posl Key"
DB_Static Loads,/DB/PRES,,"GET, POST, PUT, DELETE","Delete Db Pres"
DB_Static Loads,/DB/PRES/{id},,"GET, POST, PUT, DELETE","Delete Db Pres Key"
DB_Boundary,/DB/PRLS,,"GET, POST, PUT, DELETE","Delete Db Prls"
DB_Boundary,/DB/PRLS/{id},,"GET, POST, PUT, DELETE","Delete Db Prls Key"
DB_Prestress Loads,/DB/PRST,,"GET, POST, PUT, DELETE","Delete Db Prst"
DB_Prestress Loads,/DB/PRST/{id},,"GET, POST, PUT, DELETE","Delete Db Prst Key"
DB_Static Loads,/DB/PSLT,,"GET, POST, PUT, DELETE","Delete Db Pslt"
DB_Static Loads,/DB/PSLT/{id},,"GET, POST, PUT, DELETE","Delete Db Pslt Key"
DB_Properties,/DB/PSSF,,"GET, POST, PUT, DELETE","Delete Db Pssf"
DB_Properties,/DB/PSSF/{id},,"GET, POST, PUT, DELETE","Delete Db Pssf Key"
DB_Prestress Loads,/DB/PTNS,,"GET, POST, PUT, DELETE","Delete Db Ptns"
DB_Prestress Loads,/DB/PTNS/{id},,"GET, POST, PUT, DELETE","Delete Db Ptns Key"
DB_Boundary,/DB/PZEF,,"GET, POST, PUT","Put Db Pzef"
DB_Boundary,/DB/PZEF/{id},,"GET, POST, PUT","Put Db Pzef Key"
DB_Design,/DB/RCHK,,"GET, POST, PUT, DELETE","Delete Db Rchk"
DB_Design,/DB/RCHK/{id},,"GET, POST, PUT, DELETE","Delete Db Rchk Key"
DB_Boundary,/DB/RIGD,,"GET, POST, PUT, DELETE","Delete Db Rigd"
DB_Boundary,/DB/RIGD/{id},,"GET, POST, PUT, DELETE","Delete Db Rigd Key"
DB_Properties,/DB/RPSC,,"GET, POST, PUT, DELETE","Delete Db Rpsc"
DB_Properties,/DB/RPSC/{id},,"GET, POST, PUT, DELETE","Delete Db Rpsc Key"
DB_Analysis,/DB/SBCT,,"GET, POST, PUT, DELETE","Delete Db Sbct"
DB_Analysis,/DB/SBCT/{id},,"GET, POST, PUT, DELETE","Delete Db Sbct Key"
DB_Node/Element,/DB/SBDO,,"GET, POST, PUT, DELETE","Delete Db Sbdo"
DB_Node/Element,/DB/SBDO/{id},,"GET, POST, PUT, DELETE","Delete Db Sbdo Key"
DB_Static Loads,/DB/SDSP,,"GET, POST, PUT, DELETE","Delete Db Sdsp"
DB_Static Loads,/DB/SDSP/{id},,"GET, POST, PUT, DELETE","Delete Db Sdsp Key"
DB_Boundary,/DB/SDST,,"GET, POST, PUT, DELETE","Delete Db Sdst"
DB_Boundary,/DB/SDST/{id},,"GET, POST, PUT, DELETE","Delete Db Sdst Key"
DB_Boundary,/DB/SDVE,,"GET, POST, PUT, DELETE","Delete Db Sdve"
DB_Boundary,/DB/SDVE/{id},,"GET, POST, PUT, DELETE","Delete Db Sdve Key"
DB_Boundary,/DB/SDVI,,"GET, POST, PUT, DELETE","Delete Db Sdvi"
DB_Boundary,/DB/SDVI/{id},,"GET, POST, PUT, DELETE","Delete Db Sdvi Key"
DB_Properties,/DB/SECF,,"GET, POST, PUT, DELETE","Delete Db Secf"
DB_Properties,/DB/SECF/{id},,"GET, POST, PUT, DELETE","Delete Db Secf Key"
DB_Properties,/DB/SECP,,"GET, POST, PUT, DELETE","Delete Db Secp"
DB_Properties,/DB/SECP/{id},,"GET, POST, PUT, DELETE","Delete Db Secp Key"
DB_Properties,/DB/SECT,,"GET, POST, PUT, DELETE","Delete Db Sect"
DB_Properties,/DB/SECT/{id},,"GET, POST, PUT, DELETE","Delete Db Sect Key"
DB_Properties,/DB/SECV,,"GET, POST, PUT, DELETE","Delete Db Secv"
DB_Properties,/DB/SECV/{id},,"GET, POST, PUT, DELETE","Delete Db Secv Key"
DB_Construction Stage Loads (Test),/DB/SGLD,,"GET","Get Db Sgld"
DB_Construction Stage Loads (Test),/DB/SGLD/{id},,"GET","Get Db Sgld Key"
DB_View,/DB/SINF,,"GET, POST, PUT, DELETE","Delete Db Sinf"
DB_View,/DB/SINF/{id},,"GET, POST, PUT, DELETE","Delete Db Sinf Key"
DB_Node/Element,/DB/SKEW,,"GET, POST, PUT, DELETE","Delete Db Skew"
DB_Node/Element,/DB/SKEW/{id},,"GET, POST, PUT, DELETE","Delete Db Skew Key"
DB_Moving Loads,/DB/SLAN,,"GET, POST, PUT, DELETE","Delete Db Slan"
DB_Moving Loads,/DB/SLAN/{id},,"GET, POST, PUT, DELETE","Delete Db Slan Key"
DB_Moving Loads,/DB/SLANCH,,"GET, POST, PUT, DELETE","Delete Db Slanch"
DB_Moving Loads,/DB/SLANCH/{id},,"GET, POST, PUT, DELETE","Delete Db Slanch Key"
DB_Moving Loads,/DB/SLANOP,,"GET, POST, PUT, DELETE","Delete Db Slanop"
DB_Moving Loads,/DB/SLANOP/{id},,"GET, POST, PUT, DELETE","Delete Db Slanop Key"
DB_Analysis,/DB/SMCT,,"GET, POST, PUT, DELETE","Delete Db Smct"
DB_Analysis,/DB/SMCT/{id},,"GET, POST, PUT, DELETE","Delete Db Smct Key"
DB_Settlement Loads,/DB/SMLC,,"GET, POST, PUT, DELETE","Delete Db Smlc"
DB_Settlement Loads,/DB/SMLC/{id},,"GET, POST, PUT, DELETE","Delete Db Smlc Key"
DB_Settlement Loads,/DB/SMPT,,"GET, POST, PUT, DELETE","Delete Db Smpt"
DB_Settlement Loads,/DB/SMPT/{id},,"GET, POST, PUT, DELETE","Delete Db Smpt Key"
DB_Structure,/DB/SPAN,,"GET, POST, PUT, DELETE","Delete Db Span"
DB_Structure,/DB/SPAN/{id},,"GET, POST, PUT, DELETE","Delete Db Span Key"
DB_Dynamic Loads,/DB/SPFC,,"GET, POST, PUT, DELETE","Delete Db Spfc"
DB_Dynamic Loads,/DB/SPFC/{id},,"GET, POST, PUT, DELETE","Delete Db Spfc Key"
DB_Dynamic Loads,/DB/SPLC,,"GET, POST, PUT, DELETE","Delete Db Splc"
DB_Dynamic Loads,/DB/SPLC/{id},,"GET, POST, PUT, DELETE","Delete Db Splc Key"
DB_Boundary,/DB/SSPS,,"GET, POST, PUT, DELETE","Delete Db Ssps"
DB_Boundary,/DB/SSPS/{id},,"GET, POST, PUT, DELETE","Delete Db Ssps Key"
DB_Construction Stage Loads,/DB/STAG,,"GET, POST, PUT, DELETE","Delete Db Stag"
DB_Construction Stage Loads,/DB/STAG/{id},,"GET, POST, PUT, DELETE","Delete Db Stag Key"
DB_Construction Stage Loads,/DB/STBK,,"GET, POST, PUT, DELETE","Delete Db Stbk"
DB_Construction Stage Loads,/DB/STBK/{id},,"GET, POST, PUT, DELETE","Delete Db Stbk Key"
DB_Analysis,/DB/STCT,,"GET, POST, PUT, DELETE","Delete Db Stct"
DB_Analysis,/DB/STCT/{id},,"GET, POST, PUT, DELETE","Delete Db Stct Key"
DB_Static Loads,/DB/STLD,,"GET, POST, PUT, DELETE","Delete Db Stld"
DB_Static Loads,/DB/STLD/{id},,"GET, POST, PUT, DELETE","Delete Db Stld Key"
DB_Temperature Loads,/DB/STMP,,"GET, POST, PUT, DELETE","Delete Db Stmp"
DB_Temperature Loads,/DB/STMP/{id},,"GET, POST, PUT, DELETE","Delete Db Stmp Key"
DB_Properties,/DB/STRPSSM,,"GET, POST, PUT, DELETE","Delete Db Strpssm"
DB_Properties,/DB/STRPSSM/{id},,"GET, POST, PUT, DELETE","Delete Db Strpssm Key"
DB_Project,/DB/STYP,,"GET, POST, PUT, DELETE","Delete Db Styp"
DB_Project,/DB/STYP/{id},,"GET, POST, PUT, DELETE","Delete Db Styp Key"
DB_Prestress Loads,/DB/TDCS,,"GET, POST, PUT, DELETE","Delete Db Tdcs"
DB_Prestress Loads,/DB/TDCS/{id},,"GET, POST, PUT, DELETE","Delete Db Tdcs Key"
DB_Project,/DB/TDGR,,"GET, POST, PUT, DELETE","Delete Db Tdgr"
DB_Project,/DB/TDGR/{id},,"GET, POST, PUT, DELETE","Delete Db Tdgr Key"
DB_Properties,/DB/TDME,,"GET, POST, PUT, DELETE","Delete Db Tdme"
DB_Properties,/DB/TDME/{id},,"GET, POST, PUT, DELETE","Delete Db Tdme Key"
DB_Properties,/DB/TDMF,,"GET, POST, PUT, DELETE","Delete Db Tdmf"
DB_Properties,/DB/TDMF/{id},,"GET, POST, PUT, DELETE","Delete Db Tdmf Key"
DB_Properties,/DB/TDMT,,"GET, POST, PUT, DELETE","Delete Db Tdmt"
DB_Properties,/DB/TDMT/{id},,"GET, POST, PUT, DELETE","Delete Db Tdmt Key"
DB_Prestress Loads,/DB/TDNA,,"GET, POST, PUT, DELETE","Delete Db Tdna"
DB_Prestress Loads,/DB/TDNA/{id},,"GET, POST, PUT, DELETE","Delete Db Tdna Key"
DB_Prestress Loads,/DB/TDNT,,"GET, POST, PUT, DELETE","Delete Db Tdnt"
DB_Prestress Loads,/DB/TDNT/{id},,"GET, POST, PUT, DELETE","Delete Db Tdnt Key"
DB_Prestress Loads,/DB/TDPL,,"GET, POST, PUT, DELETE","Delete Db Tdpl"
DB_Prestress Loads,/DB/TDPL/{id},,"GET, POST, PUT, DELETE","Delete Db Tdpl Key"
DB_Dynamic Loads,/DB/THFC,,"GET, POST, PUT, DELETE","Delete Db Thfc"
DB_Dynamic Loads,/DB/THFC/{id},,"GET, POST, PUT, DELETE","Delete Db Thfc Key"
DB_Dynamic Loads,/DB/THGA,,"GET, POST, PUT, DELETE","Delete Db Thga"
DB_Dynamic Loads,/DB/THGA/{id},,"GET, POST, PUT, DELETE","Delete Db Thga Key"
DB_Dynamic Loads,/DB/THGC,,"GET, POST, PUT, DELETE","Delete Db Thgc"
DB_Dynamic Loads,/DB/THGC/{id},,"GET, POST, PUT, DELETE","Delete Db Thgc Key"
DB_Properties,/DB/THIK,,"GET, POST, PUT, DELETE","Delete Db Thik"
DB_Properties,/DB/THIK/{id},,"GET, POST, PUT, DELETE","Delete Db Thik Key"
DB_Dynamic Loads,/DB/THIS,,"GET, POST, PUT, DELETE","Delete Db This"
DB_Dynamic Loads,/DB/THIS/{id},,"GET, POST, PUT, DELETE","Delete Db This Key"
DB_Dynamic Loads,/DB/THMS,,"GET, POST, PUT, DELETE","Delete Db Thms"
DB_Dynamic Loads,/DB/THMS/{id},,"GET, POST, PUT, DELETE","Delete Db Thms Key"
DB_Dynamic Loads,/DB/THNL,,"GET, POST, PUT, DELETE","Delete Db Thnl"
DB_Dynamic Loads,/DB/THNL/{id},,"GET, POST, PUT, DELETE","Delete Db Thnl Key"
DB_Time History Analysis Results,/DB/THRE,,"GET, POST, PUT, DELETE","Delete Db Thre"
DB_Time History Analysis Results,/DB/THRE/{id},,"GET, POST, PUT, DELETE","Delete Db Thre Key"
DB_Time History Analysis Results,/DB/THRG,,"GET, POST, PUT, DELETE","Delete Db Thrg"
DB_Time History Analysis Results,/DB/THRG/{id},,"GET, POST, PUT, DELETE","Delete Db Thrg Key"
DB_Time History Analysis Results,/DB/THRI,,"GET, POST, PUT, DELETE","Delete Db Thri"
DB_Time History Analysis Results,/DB/THRI/{id},,"GET, POST, PUT, DELETE","Delete Db Thri Key"
DB_Dynamic Loads,/DB/THSL,,"GET, POST, PUT, DELETE","Delete Db Thsl"
DB_Dynamic Loads,/DB/THSL/{id},,"GET, POST, PUT, DELETE","Delete Db Thsl Key"
DB_Properties,/DB/TMAT,,"GET, POST, PUT, DELETE","Delete Db Tmat"
DB_Properties,/DB/TMAT/{id},,"GET, POST, PUT, DELETE","Delete Db Tmat Key"
DB_Construction Stage Loads,/DB/TMLD,,"GET, POST, PUT, DELETE","Delete Db Tmld"
DB_Construction Stage Loads,/DB/TMLD/{id},,"GET, POST, PUT, DELETE","Delete Db Tmld Key"
DB_Properties,/DB/TSGR,,"GET, POST, PUT, DELETE","Delete Db Tsgr"
DB_Properties,/DB/TSGR/{id},,"GET, POST, PUT, DELETE","Delete Db Tsgr Key"
DB_View,/DB/UFIG,,"GET","Get Db Ufig"
DB_View,/DB/UFIG/{id},,"GET","Get Db Ufig Key"
DB_Misc. Result,/DB/ULFC,,"GET, POST, PUT, DELETE","Delete Db Ulfc"
DB_Misc. Result,/DB/ULFC/{id},,"GET, POST, PUT, DELETE","Delete Db Ulfc Key"
DB_Project,/DB/UNIT,,"GET, PUT","Put Db Unit"
DB_Project,/DB/UNIT/{id},,"GET, PUT","Put Db Unit Key"
DB_Properties,/DB/VBEM,,"GET, POST, PUT, DELETE","Delete Db Vbem"
DB_Properties,/DB/VBEM/{id},,"GET, POST, PUT, DELETE","Delete Db Vbem Key"
DB_Properties,/DB/VSEC,,"GET, POST, PUT, DELETE","Delete Db Vsec"
DB_Properties,/DB/VSEC/{id},,"GET, POST, PUT, DELETE","Delete Db Vsec Key"
DB_Design,/DB/WMAK,,"GET, POST, PUT, DELETE","Delete Db Wmak"
DB_Design,/DB/WMAK/{id},,"GET, POST, PUT, DELETE","Delete Db Wmak Key"
DB_Properties,/DB/WSSF,,"GET, POST, PUT, DELETE","Delete Db Wssf"
DB_Properties,/DB/WSSF/{id},,"GET, POST, PUT, DELETE","Delete Db Wssf Key"
DB_Miscellaneous Loads,/DB/WVLD,,"GET, POST, PUT, DELETE","Delete Db Wvld"
DB_Miscellaneous Loads,/DB/WVLD/{id},,"GET, POST, PUT, DELETE","Delete Db Wvld Key"
DOC,/DOC/ANAL,,"POST","Post Doc Anal"
DOC,/DOC/CLOSE,,"POST","Post Doc Close"
DOC,/DOC/EXIT,,"POST","Post Doc Exit"
DOC,/DOC/EXPORT,,"POST","Post Doc Export"
DOC,/DOC/EXPORT/{NAME},,"POST","Post Doc Export With Param"
DOC,/DOC/EXPORTMXT,,"POST","Post Doc Exportmxt"
DOC,/DOC/IMPORT,,"POST","Post Doc Import"
DOC,/DOC/IMPORTMXT,,"POST","Post Doc Importmxt"
DOC,/DOC/NEW,,"POST","Post Doc New"
DOC,/DOC/OPEN,,"POST","Post Doc Open"
DOC,/DOC/SAVE,,"POST","Post Doc Save"
DOC,/DOC/SAVEAS,,"POST","Post Doc Saveas"
DOC,/DOC/STAGAS,,"POST","Post Doc Stagas"
Description,/INFO/DB/ACTL,,"GET","Description Actl"
Description,/INFO/DB/ARPR,,"GET","Description Arpr"
Description,/INFO/DB/BCCT,,"GET","Description Bcct"
Description,/INFO/DB/BMLD,,"GET","Description Bmld"
Description,/INFO/DB/BNGR,,"GET","Description Bngr"
Description,/INFO/DB/BODF,,"GET","Description Bodf"
Description,/INFO/DB/BTMP,,"GET","Description Btmp"
Description,/INFO/DB/BUCK,,"GET","Description Buck"
Description,/INFO/DB/CAMB,,"GET","Description Camb"
Description,/INFO/DB/CCFC,,"GET","Description Ccfc"
Description,/INFO/DB/CGLP,,"GET","Description Cglp"
Description,/INFO/DB/CJFG,,"GET","Description Cjfg"
Description,/INFO/DB/CLDR,,"GET","Description Cldr"
Description,/INFO/DB/CLWP,,"GET","Description Clwp"
Description,/INFO/DB/CMCS,,"GET","Description Cmcs"
Description,/INFO/DB/CMFT,,"GET","Description Cmft"
Description,/INFO/DB/CNLD,,"GET","Description Cnld"
Description,/INFO/DB/CONS,,"GET","Description Cons"
Description,/INFO/DB/CO_F,,"GET","Description Co F"
Description,/INFO/DB/CO_M,,"GET","Description Co M"
Description,/INFO/DB/CO_S,,"GET","Description Co S"
Description,/INFO/DB/CO_T,,"GET","Description Co T"
Description,/INFO/DB/CRGR,,"GET","Description Crgr"
Description,/INFO/DB/CRPC,,"GET","Description Crpc"
Description,/INFO/DB/CSCS,,"GET","Description Cscs"
Description,/INFO/DB/CUTL,,"GET","Description Cutl"
Description,/INFO/DB/DCON,,"GET","Description Dcon"
Description,/INFO/DB/DCTL,,"GET","Description Dctl"
Description,/INFO/DB/DOEL,,"GET","Description Doel"
Description,/INFO/DB/DSTL,,"GET","Description Dstl"
Description,/INFO/DB/DYFG,,"GET","Description Dyfg"
Description,/INFO/DB/DYLA,,"GET","Description Dyla"
Description,/INFO/DB/DYNF,,"GET","Description Dynf"
Description,/INFO/DB/EARE,,"GET","Description Eare"
Description,/INFO/DB/EDMP,,"GET","Description Edmp"
Description,/INFO/DB/EFCT,,"GET","Description Efct"
Description,/INFO/DB/EIGV,,"GET","Description Eigv"
Description,/INFO/DB/ELEM,,"GET","Description Elem"
Description,/INFO/DB/ELNK,,"GET","Description Elnk"
Description,/INFO/DB/EPMT,,"GET","Description Epmt"
Description,/INFO/DB/EPSE,,"GET","Description Epse"
Description,/INFO/DB/EQMF,,"GET","Description Eqmf"
Description,/INFO/DB/ESSF,,"GET","Description Essf"
Description,/INFO/DB/ETFC,,"GET","Description Etfc"
Description,/INFO/DB/ETMP,,"GET","Description Etmp"
Description,/INFO/DB/EWSF,,"GET","Description Ewsf"
Description,/INFO/DB/EXLD,,"GET","Description Exld"
Description,/INFO/DB/FBLA,,"GET","Description Fbla"
Description,/INFO/DB/FBLD,,"GET","Description Fbld"
Description,/INFO/DB/FIBR,,"GET","Description Fibr"
Description,/INFO/DB/FIMP,,"GET","Description Fimp"
Description,/INFO/DB/FMLD,,"GET","Description Fmld"
Description,/INFO/DB/FRLS,,"GET","Description Frls"
Description,/INFO/DB/GALD,,"GET","Description Gald"
Description,/INFO/DB/GCMB,,"GET","Description Gcmb"
Description,/INFO/DB/GRDP,,"GET","Description Grdp"
Description,/INFO/DB/GRUP,,"GET","Description Grup"
Description,/INFO/DB/GSBG,,"GET","Description Gsbg"
Description,/INFO/DB/GSPR,,"GET","Description Gspr"
Description,/INFO/DB/GSTP,,"GET","Description Gstp"
Description,/INFO/DB/GTMP,,"GET","Description Gtmp"
Description,/INFO/DB/HAHS,,"GET","Description Hahs"
Description,/INFO/DB/HECB,,"GET","Description Hecb"
Description,/INFO/DB/HHCT,,"GET","Description Hhct"
Description,/INFO/DB/HHND,,"GET","Description Hhnd"
Description,/INFO/DB/HPCE,,"GET","Description Hpce"
Description,/INFO/DB/HSFC,,"GET","Description Hsfc"
Description,/INFO/DB/HSPT,,"GET","Description Hspt"
Description,/INFO/DB/HSTG,,"GET","Description Hstg"
Description,/INFO/DB/IEHC,,"GET","Description Iehc"
Description,/INFO/DB/IEHG,,"GET","Description Iehg"
Description,/INFO/DB/IEHP,,"GET","Description Iehp"
Description,/INFO/DB/IELC,,"GET","Description Ielc"
Description,/INFO/DB/IEPI,,"GET","Description Iepi"
Description,/INFO/DB/IFGS,,"GET","Description Ifgs"
Description,/INFO/DB/IMFM,,"GET","Description Imfm"
Description,/INFO/DB/IMPF,,"GET","Description Impf"
Description,/INFO/DB/INMF,,"GET","Description Inmf"
Description,/INFO/DB/KFAC,,"GET","Description Kfac"
Description,/INFO/DB/LCOM-ALUM,,"GET","Description Lcom Alu"
Description,/INFO/DB/LCOM-CFSTEEL,,"GET","Description Lcom Cfsteel"
Description,/INFO/DB/LCOM-CONC,,"GET","Description Lcom Conc"
Description,/INFO/DB/LCOM-FDN,,"GET","Description Lcom Fdn"
Description,/INFO/DB/LCOM-GEN,,"GET","Description Lcom Gen"
Description,/INFO/DB/LCOM-LINEAR,,"GET","Description Lcom Linear"
Description,/INFO/DB/LCOM-SEISMIC,,"GET","Description Lcom Seismic"
Description,/INFO/DB/LCOM-SRC,,"GET","Description Lcom Src"
Description,/INFO/DB/LCOM-STEEL,,"GET","Description Lcom Steel"
Description,/INFO/DB/LCOM-STLCOMP,,"GET","Description Lcom Stlcomp"
Description,/INFO/DB/LDGR,,"GET","Description Ldgr"
Description,/INFO/DB/LDSQ,,"GET","Description Ldsq"
Description,/INFO/DB/LENG,,"GET","Description Leng"
Description,/INFO/DB/LLAN,,"GET","Description Llan"
Description,/INFO/DB/LLANCH,,"GET","Description Llanch"
Description,/INFO/DB/LLANID,,"GET","Description Llanid"
Description,/INFO/DB/LLANJP,,"GET","Description Llanjp"
Description,/INFO/DB/LLANOP,,"GET","Description Llanop"
Description,/INFO/DB/LLANTR,,"GET","Description Llantr"
Description,/INFO/DB/LTOM,,"GET","Description Ltom"
Description,/INFO/DB/LTSR,,"GET","Description Ltsr"
Description,/INFO/DB/MADO,,"GET","Description Mado"
Description,/INFO/DB/MATD,,"GET","Description Matd"
Description,/INFO/DB/MATL,,"GET","Description Matl"
Description,/INFO/DB/MBTP,,"GET","Description Mbtp"
Description,/INFO/DB/MCON,,"GET","Description Mcon"
Description,/INFO/DB/MDGN,,"GET","Description Mdgn"
Description,/INFO/DB/MEMB,,"GET","Description Memb"
Description,/INFO/DB/MLFC,,"GET","Description Mlfc"
Description,/INFO/DB/MLSP,,"GET","Description Mlsp"
Description,/INFO/DB/MLSR,,"GET","Description Mlsr"
Description,/INFO/DB/MRFT,,"GET","Description Mrft"
Description,/INFO/DB/MTCS,,"GET","Description Mtcs"
Description,/INFO/DB/MVCD,,"GET","Description Mvcd"
Description,/INFO/DB/MVCT,,"GET","Description Mvct"
Description,/INFO/DB/MVCTBS,,"GET","Description Mvctbs"
Description,/INFO/DB/MVCTCH,,"GET","Description Mvctch"
Description,/INFO/DB/MVCTID,,"GET","Description Mvctid"
Description,/INFO/DB/MVCTTR,,"GET","Description Mvcttr"
Description,/INFO/DB/MVHC,,"GET","Description Mvhc"
Description,/INFO/DB/MVHL,,"GET","Description Mvhl"
Description,/INFO/DB/MVHLTR,,"GET","Description Mvhltr"
Description,/INFO/DB/MVLD,,"GET","Description Mvld"
Description,/INFO/DB/MVLDBS,,"GET","Description Mvldbs"
Description,/INFO/DB/MVLDCH,,"GET","Description Mvldch"
Description,/INFO/DB/MVLDEU,,"GET","Description Mvldeu"
Description,/INFO/DB/MVLDID,,"GET","Description Mvldid"
Description,/INFO/DB/MVLDJP,,"GET","Description Mvldjp"
Description,/INFO/DB/MVLDPL,,"GET","Description Mvldpl"
Description,/INFO/DB/MVLDTR,,"GET","Description Mvldtr"
Description,/INFO/DB/NBOF,,"GET","Description Nbof"
Description,/INFO/DB/NLCT,,"GET","Description Nlct"
Description,/INFO/DB/NLLP,,"GET","Description Nllp"
Description,/INFO/DB/NLNK,,"GET","Description Nlnk"
Description,/INFO/DB/NMAS,,"GET","Description Nmas"
Description,/INFO/DB/NODE,,"GET","Description Node"
Description,/INFO/DB/NPLN,,"GET","Description Npln"
Description,/INFO/DB/NSPR,,"GET","Description Nspr"
Description,/INFO/DB/NTMP,,"GET","Description Ntmp"
Description,/INFO/DB/NUCS,,"GET","Description Nucs"
Description,/INFO/DB/OFFS,,"GET","Description Offs"
Description,/INFO/DB/PDEL,,"GET","Description Pdel"
Description,/INFO/DB/PHGE,,"GET","Description Phge"
Description,/INFO/DB/PHGT,,"GET","Description Phgt"
Description,/INFO/DB/PJCF,,"GET","Description Pjcf"
Description,/INFO/DB/PLCB,,"GET","Description Plcb"
Description,/INFO/DB/PNLA,,"GET","Description Pnla"
Description,/INFO/DB/PNLD,,"GET","Description Pnld"
Description,/INFO/DB/POGD,,"GET","Description Pogd"
Description,/INFO/DB/POLC,,"GET","Description Polc"
Description,/INFO/DB/POSL,,"GET","Description Posl"
Description,/INFO/DB/PRES,,"GET","Description Pres"
Description,/INFO/DB/PRLS,,"GET","Description Prls"
Description,/INFO/DB/PRST,,"GET","Description Prst"
Description,/INFO/DB/PSLT,,"GET","Description Pslt"
Description,/INFO/DB/PSSF,,"GET","Description Pssf"
Description,/INFO/DB/PTNS,,"GET","Description Ptns"
Description,/INFO/DB/PZEF,,"GET","Description Pzef"
Description,/INFO/DB/RCHK,,"GET","Description Rchk"
Description,/INFO/DB/RIGD,,"GET","Description Rigd"
Description,/INFO/DB/RPSC,,"GET","Description Rpsc"
Description,/INFO/DB/SBCT,,"GET","Description Sbct"
Description,/INFO/DB/SBDO,,"GET","Description Sbdo"
Description,/INFO/DB/SDSP,,"GET","Description Sdsp"
Description,/INFO/DB/SDST,,"GET","Description Sdst"
Description,/INFO/DB/SDVE,,"GET","Description Sdve"
Description,/INFO/DB/SDVI,,"GET","Description Sdvi"
Description,/INFO/DB/SECF,,"GET","Description Secf"
Description,/INFO/DB/SECP,,"GET","Description Secp"
Description,/INFO/DB/SECT,,"GET","Description Sect"
Description,/INFO/DB/SECV,,"GET","Description Secv"
Description,/INFO/DB/SGLD,,"GET","Description Sgld"
Description,/INFO/DB/SINF,,"GET","Description Sinf"
Description,/INFO/DB/SKEW,,"GET","Description Skew"
Description,/INFO/DB/SLAN,,"GET","Description Slan"
Description,/INFO/DB/SLANCH,,"GET","Description Slanch"
Description,/INFO/DB/SLANOP,,"GET","Description Slanop"
Description,/INFO/DB/SMCT,,"GET","Description Smct"
Description,/INFO/DB/SMLC,,"GET","Description Smlc"
Description,/INFO/DB/SMPT,,"GET","Description Smpt"
Description,/INFO/DB/SPAN,,"GET","Description Span"
Description,/INFO/DB/SPFC,,"GET","Description Spfc"
Description,/INFO/DB/SPLC,,"GET","Description Splc"
Description,/INFO/DB/SSPS,,"GET","Description Ssps"
Description,/INFO/DB/STAG,,"GET","Description Stag"
Description,/INFO/DB/STBK,,"GET","Description Stbk"
Description,/INFO/DB/STCT,,"GET","Description Stct"
Description,/INFO/DB/STLD,,"GET","Description Stld"
Description,/INFO/DB/STMP,,"GET","Description Stmp"
Description,/INFO/DB/STRPSSM,,"GET","Description Strpssm"
Description,/INFO/DB/STYP,,"GET","Description Styp"
Description,/INFO/DB/TDCS,,"GET","Description Tdcs"
Description,/INFO/DB/TDGR,,"GET","Description Tdgr"
Description,/INFO/DB/TDME,,"GET","Description Tdme"
Description,/INFO/DB/TDMF,,"GET","Description Tdmf"
Description,/INFO/DB/TDMT,,"GET","Description Tdmt"
Description,/INFO/DB/TDNA,,"GET","Description Tdna"
Description,/INFO/DB/TDNT,,"GET","Description Tdnt"
Description,/INFO/DB/TDPL,,"GET","Description Tdpl"
Description,/INFO/DB/THFC,,"GET","Description Thfc"
Description,/INFO/DB/THGA,,"GET","Description Thga"
Description,/INFO/DB/THGC,,"GET","Description Thgc"
Description,/INFO/DB/THIK,,"GET","Description Thik"
Description,/INFO/DB/THIS,,"GET","Description This"
Description,/INFO/DB/THMS,,"GET","Description Thms"
